Variable,File
fx_13f01_tz,10_20251022_093726_50tables.xlsx
fx_13f02_g,10_20251022_093726_50tables.xlsx
fx_13f02_g_km,10_20251022_093726_50tables.xlsx
fx_13f02_gdw,10_20251022_093726_50tables.xlsx
fx_13f02_glj,10_20251022_093726_50tables.xlsx
fx_13f02_jp,10_20251022_093726_50tables.xlsx
fx_13f02_jz,10_20251022_093726_50tables.xlsx
fx_13f02_k,10_20251022_093726_50tables.xlsx
fx_13f02_k_km,10_20251022_093726_50tables.xlsx
fx_13f02_kdw,10_20251022_093726_50tables.xlsx
fx_13f02_tz,10_20251022_093726_50tables.xlsx
fx_13f03_g,10_20251022_093726_50tables.xlsx
fx_13f03_g_km,10_20251022_093726_50tables.xlsx
fx_13f03_gdw,10_20251022_093726_50tables.xlsx
fx_13f03_glj,10_20251022_093726_50tables.xlsx
fx_13f03_jp,10_20251022_093726_50tables.xlsx
fx_13f03_jz,10_20251022_093726_50tables.xlsx
fx_13f03_k,10_20251022_093726_50tables.xlsx
fx_13f03_k_km,10_20251022_093726_50tables.xlsx
fx_13f03_kdw,10_20251022_093726_50tables.xlsx
fx_13f03_tz,10_20251022_093726_50tables.xlsx
fx_13f04_g,10_20251022_093726_50tables.xlsx
fx_13f04_g_km,10_20251022_093726_50tables.xlsx
fx_13f04_gdw,10_20251022_093726_50tables.xlsx
fx_13f04_glj,10_20251022_093726_50tables.xlsx
fx_13f04_jp,10_20251022_093726_50tables.xlsx
fx_13f04_jz,10_20251022_093726_50tables.xlsx
fx_13f04_k,10_20251022_093726_50tables.xlsx
fx_13f04_k_km,10_20251022_093726_50tables.xlsx
fx_13f04_kdw,10_20251022_093726_50tables.xlsx
fx_13f04_tz,10_20251022_093726_50tables.xlsx
fx_13f05_g,10_20251022_093726_50tables.xlsx
fx_13f05_g_km,10_20251022_093726_50tables.xlsx
fx_13f05_gdw,10_20251022_093726_50tables.xlsx
fx_13f05_glj,10_20251022_093726_50tables.xlsx
fx_13f05_jp,10_20251022_093726_50tables.xlsx
fx_13f05_jz,10_20251022_093726_50tables.xlsx
fx_13f05_k,10_20251022_093726_50tables.xlsx
fx_13f05_k_km,10_20251022_093726_50tables.xlsx
fx_13f05_kdw,10_20251022_093726_50tables.xlsx
fx_13f05_tz,10_20251022_093726_50tables.xlsx
fx_13f06_g,10_20251022_093726_50tables.xlsx
fx_13f06_g_km,10_20251022_093726_50tables.xlsx
fx_13f06_gdw,10_20251022_093726_50tables.xlsx
fx_x1sx3_di15,110_20251022_111759_50tables.xlsx
fx_x1sx3_di16,110_20251022_111759_50tables.xlsx
fx_x1sx3_di17,110_20251022_111759_50tables.xlsx
fx_x1sx3_di18,110_20251022_111759_50tables.xlsx
fx_x1sx3_di19,110_20251022_111759_50tables.xlsx
fx_x1sx3_di2,110_20251022_111759_50tables.xlsx
fx_x1sx3_di3,110_20251022_111759_50tables.xlsx
fx_x1sx3_di4,110_20251022_111759_50tables.xlsx
fx_x1sx3_di5,110_20251022_111759_50tables.xlsx
fx_x1sx3_di6,110_20251022_111759_50tables.xlsx
fx_x1sx3_di7,110_20251022_111759_50tables.xlsx
fx_x1sx3_di8,110_20251022_111759_50tables.xlsx
fx_x1sx3_di9,110_20251022_111759_50tables.xlsx
fx_x1sx3_do1,110_20251022_111759_50tables.xlsx
fx_x1sx3_do2,110_20251022_111759_50tables.xlsx
fx_x1sx3_do3,110_20251022_111759_50tables.xlsx
fx_x1sx3_do4,110_20251022_111759_50tables.xlsx
fx_x1sx3_do5,110_20251022_111759_50tables.xlsx
fx_x1sx3_do6,110_20251022_111759_50tables.xlsx
fx_x1sx3_do7,110_20251022_111759_50tables.xlsx
fx_x2_xt,110_20251022_111759_50tables.xlsx
fx_x2cx1_ai2,110_20251022_111759_50tables.xlsx
fx_x2cx1_ai27,110_20251022_111759_50tables.xlsx
fx_x2cx1_ao1,110_20251022_111759_50tables.xlsx
fx_x2cx1_ao2,110_20251022_111759_50tables.xlsx
fx_x2cx1_ao3,111_20251022_111819_50tables.xlsx
fx_x2cx1_ao4,111_20251022_111819_50tables.xlsx
fx_x2cx1_ao5,111_20251022_111819_50tables.xlsx
fx_x2cx1_ao6,111_20251022_111819_50tables.xlsx
fx_x2cx1_di1,111_20251022_111819_50tables.xlsx
fx_x2cx1_di10,111_20251022_111819_50tables.xlsx
fx_x2cx1_di11,111_20251022_111819_50tables.xlsx
fx_x2cx1_di12,111_20251022_111819_50tables.xlsx
fx_x2cx1_di13,111_20251022_111819_50tables.xlsx
fx_x2cx1_di14,111_20251022_111819_50tables.xlsx
fx_x2cx1_di15,111_20251022_111819_50tables.xlsx
fx_x2cx1_di16,111_20251022_111819_50tables.xlsx
fx_x2cx1_di17,111_20251022_111819_50tables.xlsx
fx_x2cx1_di18,111_20251022_111819_50tables.xlsx
fx_x2cx1_di19,111_20251022_111819_50tables.xlsx
fx_x2cx1_di2,111_20251022_111819_50tables.xlsx
fx_x2cx1_di3,111_20251022_111819_50tables.xlsx
fx_x2cx1_di4,111_20251022_111819_50tables.xlsx
fx_x2cx1_di5,111_20251022_111819_50tables.xlsx
fx_x2cx1_di6,111_20251022_111819_50tables.xlsx
fx_x2cx1_di7,111_20251022_111819_50tables.xlsx
fx_x2cx1_di8,111_20251022_111819_50tables.xlsx
fx_x2cx1_di9,111_20251022_111819_50tables.xlsx
fx_x2cx1_do1,111_20251022_111819_50tables.xlsx
fx_x2cx1_do2,111_20251022_111819_50tables.xlsx
fx_x2cx1_do3,111_20251022_111819_50tables.xlsx
fx_x2cx1_do4,111_20251022_111819_50tables.xlsx
fx_x2cx1_do5,111_20251022_111819_50tables.xlsx
fx_x2cx1_do6,111_20251022_111819_50tables.xlsx
fx_x2cx1_do7,111_20251022_111819_50tables.xlsx
fx_x2cx2_ai2,111_20251022_111819_50tables.xlsx
fx_x2cx2_ao1,112_20251022_111837_50tables.xlsx
fx_x2cx2_ao2,112_20251022_111837_50tables.xlsx
fx_x2cx2_ao3,112_20251022_111837_50tables.xlsx
fx_x2cx2_ao4,112_20251022_111837_50tables.xlsx
fx_x2cx2_ao5,112_20251022_111837_50tables.xlsx
fx_x2cx2_ao6,112_20251022_111837_50tables.xlsx
fx_x2cx2_di1,112_20251022_111837_50tables.xlsx
fx_x2cx2_di10,112_20251022_111837_50tables.xlsx
fx_x2cx2_di11,112_20251022_111837_50tables.xlsx
fx_x2cx2_di12,112_20251022_111837_50tables.xlsx
fx_x2cx2_di13,112_20251022_111837_50tables.xlsx
fx_x2cx2_di14,112_20251022_111837_50tables.xlsx
fx_x2cx2_di15,112_20251022_111837_50tables.xlsx
fx_x2cx2_di16,112_20251022_111837_50tables.xlsx
fx_x2cx2_di17,112_20251022_111837_50tables.xlsx
fx_x2cx2_di18,112_20251022_111837_50tables.xlsx
fx_x2cx2_di19,112_20251022_111837_50tables.xlsx
fx_x2cx2_di2,112_20251022_111837_50tables.xlsx
fx_x2cx2_di3,112_20251022_111837_50tables.xlsx
fx_x2cx2_di4,112_20251022_111837_50tables.xlsx
fx_x2cx2_di5,112_20251022_111837_50tables.xlsx
fx_x2cx2_di6,112_20251022_111837_50tables.xlsx
fx_x2cx2_di7,112_20251022_111837_50tables.xlsx
fx_x2cx2_di8,112_20251022_111837_50tables.xlsx
fx_x2cx2_di9,112_20251022_111837_50tables.xlsx
fx_x2cx2_do1,112_20251022_111837_50tables.xlsx
fx_x2cx2_do2,112_20251022_111837_50tables.xlsx
fx_x2cx2_do3,112_20251022_111837_50tables.xlsx
fx_x2cx2_do4,112_20251022_111837_50tables.xlsx
fx_x2cx2_do5,112_20251022_111837_50tables.xlsx
fx_x2cx2_do6,112_20251022_111837_50tables.xlsx
fx_x2cx2_do7,112_20251022_111837_50tables.xlsx
fx_x2cx3_ai2,113_20251022_111910_50tables.xlsx
fx_x2cx3_ao1,113_20251022_111910_50tables.xlsx
fx_x2cx3_ao2,113_20251022_111910_50tables.xlsx
fx_x2cx3_ao3,113_20251022_111910_50tables.xlsx
fx_x2cx3_ao4,113_20251022_111910_50tables.xlsx
fx_x2cx3_ao5,113_20251022_111910_50tables.xlsx
fx_x2cx3_ao6,113_20251022_111910_50tables.xlsx
fx_x2cx3_di1,113_20251022_111910_50tables.xlsx
fx_x2cx3_di10,113_20251022_111910_50tables.xlsx
fx_x2cx3_di11,113_20251022_111910_50tables.xlsx
fx_x2cx3_di12,113_20251022_111910_50tables.xlsx
fx_x2cx3_di13,113_20251022_111910_50tables.xlsx
fx_x2cx3_di14,113_20251022_111910_50tables.xlsx
fx_x2cx3_di15,113_20251022_111910_50tables.xlsx
fx_x2cx3_di16,113_20251022_111910_50tables.xlsx
fx_x2cx3_di17,113_20251022_111910_50tables.xlsx
fx_x2cx3_di18,113_20251022_111910_50tables.xlsx
fx_x2cx3_di19,113_20251022_111910_50tables.xlsx
fx_x2cx3_di2,113_20251022_111910_50tables.xlsx
fx_x2cx3_di3,113_20251022_111910_50tables.xlsx
fx_x2cx3_di4,113_20251022_111910_50tables.xlsx
fx_x2cx3_di5,113_20251022_111910_50tables.xlsx
fx_x2cx3_di6,113_20251022_111910_50tables.xlsx
fx_x2cx3_di7,113_20251022_111910_50tables.xlsx
fx_x2cx3_di8,113_20251022_111910_50tables.xlsx
fx_x2cx3_di9,113_20251022_111910_50tables.xlsx
fx_x2cx3_do1,113_20251022_111910_50tables.xlsx
fx_x2cx3_do2,113_20251022_111910_50tables.xlsx
fx_x2cx3_do3,113_20251022_111910_50tables.xlsx
fx_x2cx3_do4,113_20251022_111910_50tables.xlsx
fx_x2cx3_do5,113_20251022_111910_50tables.xlsx
fx_x2cx3_do6,113_20251022_111910_50tables.xlsx
fx_x2cx3_do7,113_20251022_111910_50tables.xlsx
fx_x2jx_ai38,114_20251022_111957_50tables.xlsx
fx_x2jx_ao1,114_20251022_111957_50tables.xlsx
fx_x2jx_ao2,114_20251022_111957_50tables.xlsx
fx_x2jx_ao3,114_20251022_111957_50tables.xlsx
fx_x2jx_ao4,114_20251022_111957_50tables.xlsx
fx_x2jx_ao5,114_20251022_111957_50tables.xlsx
fx_x2jx_ao6,114_20251022_111957_50tables.xlsx
fx_x2jx_ao7,114_20251022_111957_50tables.xlsx
fx_x2jx_ao8,114_20251022_111957_50tables.xlsx
fx_x2jx_di1,114_20251022_111957_50tables.xlsx
fx_x2jx_di10,114_20251022_111957_50tables.xlsx
fx_x2jx_di11,114_20251022_111957_50tables.xlsx
fx_x2jx_di12,114_20251022_111957_50tables.xlsx
fx_x2jx_di13,114_20251022_111957_50tables.xlsx
fx_x2jx_di14,114_20251022_111957_50tables.xlsx
fx_x2jx_di15,115_20251022_112031_50tables.xlsx
fx_x2jx_di16,115_20251022_112031_50tables.xlsx
fx_x2jx_di17,115_20251022_112031_50tables.xlsx
fx_x2jx_di18,115_20251022_112031_50tables.xlsx
fx_x2jx_di19,115_20251022_112031_50tables.xlsx
fx_x2jx_di2,115_20251022_112031_50tables.xlsx
fx_x2jx_di20,115_20251022_112031_50tables.xlsx
