experiment,seed,n_samples,graph_type,ml_method,treatment_idx,outcome_idx,n_confounders,n_adjustment,ate_true,ate_source,theta_hat,se,ci_lower,ci_upper,bias,covers_true
90,2170,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.012237,0.021715,-0.054799,0.030325,0.058031,False
91,2183,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.003645,0.021029,-0.044862,0.037573,0.066623,False
92,2196,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.025506,0.022173,-0.068966,0.017954,0.044762,False
93,2209,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.061019,0.019522,-0.099282,-0.022756,0.009248,True
94,2222,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.020142,0.021738,-0.062748,0.022464,0.050126,False
95,2235,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.040581,0.020964,-0.081672,0.000509,0.029687,True
96,2248,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.063562,0.020974,-0.104671,-0.022453,0.006705,True
97,2261,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.002118,0.022073,-0.045381,0.041145,0.06815,False
98,2274,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.029246,0.021401,-0.071192,0.0127,0.041022,True
99,2287,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.02756,0.021484,-0.069669,0.014549,0.042707,False
100,2300,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.045576,0.020622,-0.085996,-0.005157,0.024691,True
101,2313,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.027034,0.020659,-0.067527,0.013458,0.043234,False
102,2326,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.028723,0.021217,-0.070308,0.012862,0.041545,True
103,2339,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.037726,0.021721,-0.080299,0.004847,0.032542,True
104,2352,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.059567,0.019761,-0.0983,-0.020835,0.010701,True
105,2365,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.03703,0.020577,-0.077361,0.003301,0.033237,True
106,2378,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.029889,0.019899,-0.068891,0.009113,0.040378,False
107,2391,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.043093,0.021149,-0.084544,-0.001642,0.027174,True
108,2404,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.00543,0.021329,-0.047235,0.036376,0.064838,False
109,2417,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.020159,0.021406,-0.062115,0.021797,0.050108,False
110,2430,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.04071,0.021454,-0.08276,0.001339,0.029558,True
111,2443,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.037019,0.021635,-0.079423,0.005385,0.033249,True
112,2456,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.040355,0.019813,-0.07919,-0.001521,0.029912,True
113,2469,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.012808,0.021665,-0.055271,0.029655,0.05746,False
114,2482,2000,layered,forest,15,17,1,1,-0.070268,simulation,0.00288,0.022104,-0.040443,0.046203,0.073148,False
115,2495,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.070266,0.020735,-0.110907,-0.029624,2e-06,True
116,2508,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.011263,0.021409,-0.053226,0.030699,0.059005,False
117,2521,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.010275,0.020517,-0.050489,0.029939,0.059992,False
118,2534,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.040772,0.021542,-0.082993,0.00145,0.029496,True
119,2547,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.033375,0.020354,-0.073269,0.006519,0.036893,True
120,2560,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.038374,0.020118,-0.077806,0.001058,0.031894,True
121,2573,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.047788,0.021083,-0.08911,-0.006466,0.02248,True
122,2586,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.040362,0.020803,-0.081135,0.000411,0.029905,True
123,2599,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.046181,0.021367,-0.08806,-0.004301,0.024087,True
124,2612,2000,layered,forest,15,17,1,1,-0.070268,simulation,0.013468,0.022402,-0.03044,0.057377,0.083736,False
125,2625,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.036248,0.021889,-0.079151,0.006656,0.03402,True
126,2638,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.027299,0.02158,-0.069597,0.014998,0.042968,False
127,2651,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.057254,0.021419,-0.099235,-0.015273,0.013014,True
128,2664,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.040557,0.021163,-0.082036,0.000922,0.029711,True
129,2677,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.051964,0.021184,-0.093484,-0.010444,0.018304,True
130,2690,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.026863,0.020045,-0.066151,0.012424,0.043404,False
131,2703,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.038446,0.021398,-0.080386,0.003494,0.031821,True
132,2716,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.0526,0.021521,-0.094781,-0.010419,0.017668,True
133,2729,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.039294,0.020236,-0.078956,0.000369,0.030974,True
134,2742,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.039194,0.021169,-0.080685,0.002297,0.031074,True
135,2755,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.043206,0.020352,-0.083096,-0.003315,0.027062,True
136,2768,2000,layered,forest,15,17,1,1,-0.070268,simulation,0.000903,0.021728,-0.041684,0.043491,0.071171,False
137,2781,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.010597,0.020519,-0.050814,0.029621,0.059671,False
138,2794,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.021508,0.02142,-0.06349,0.020475,0.04876,False
139,2807,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.068587,0.020354,-0.108481,-0.028692,0.001681,True
140,2820,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.011031,0.021729,-0.05362,0.031558,0.059237,False
141,2833,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.025691,0.022681,-0.070145,0.018763,0.044577,False
142,2846,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.028684,0.021138,-0.070114,0.012745,0.041583,False
143,2859,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.034301,0.021773,-0.076977,0.008374,0.035966,True
144,2872,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.051914,0.020625,-0.092339,-0.011489,0.018353,True
145,2885,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.056634,0.021978,-0.09971,-0.013558,0.013634,True
146,2898,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.019707,0.02153,-0.061906,0.022492,0.05056,False
147,2911,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.019451,0.021585,-0.061757,0.022856,0.050817,False
148,2924,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.016571,0.022319,-0.060315,0.027174,0.053697,False
149,2937,2000,layered,forest,15,17,1,1,-0.070268,simulation,0.015473,0.020191,-0.024102,0.055048,0.085741,False
150,2950,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.029867,0.020706,-0.07045,0.010716,0.040401,True
151,2963,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.066593,0.021118,-0.107984,-0.025203,0.003674,True
152,2976,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.009813,0.020779,-0.05054,0.030915,0.060455,False
153,2989,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.065734,0.021514,-0.107901,-0.023567,0.004534,True
154,3002,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.00978,0.020526,-0.050012,0.030451,0.060487,False
155,3015,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.01704,0.020565,-0.057349,0.023268,0.053227,False
156,3028,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.027088,0.021146,-0.068534,0.014357,0.043179,False
157,3041,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.034244,0.020659,-0.074736,0.006248,0.036024,True
158,3054,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.049525,0.021761,-0.092177,-0.006874,0.020742,True
159,3067,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.073971,0.021567,-0.116242,-0.0317,-0.003703,True
160,3080,2000,layered,forest,15,17,1,1,-0.070268,simulation,0.013584,0.02026,-0.026126,0.053294,0.083852,False
161,3093,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.057796,0.02,-0.096996,-0.018596,0.012472,True
162,3106,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.048125,0.020148,-0.087615,-0.008635,0.022143,True
163,3119,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.053468,0.021941,-0.096473,-0.010463,0.0168,True
164,3132,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.041688,0.020702,-0.082264,-0.001111,0.02858,True
