window_size,kernel_sizes,hidden_mult,lr,epochs,batch_size,l1_lambda,h_lambda,threshold,SHD_mean,SHD_std,TPR_mean,TPR_std,FDR_mean,FDR_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,TP_mean,TP_std,FP_mean,FP_std,FN_mean,FN_std,TN_mean,TN_std
10,"[3, 5, 10]",8,0.005,30,64,0.001,0.5,0.05,90.0,7.788880963698615,0.6099389030974709,0.09140151468602743,0.7078887844938581,0.027371739142023756,0.2921112155061419,0.027371739142023798,0.6099389030974709,0.09140151468602743,0.39471484138055607,0.04378482920693505,29.333333333333332,3.39934634239519,71.0,4.320493798938574,19.0,4.96655480858378,280.6666666666667,6.128258770283412
10,"[2, 4, 8, 10]",8,0.01,30,64,0.005,0.5,0.03,69.33333333333333,4.0276819911981905,0.4635372264847968,0.04123091583938606,0.6583149103414395,0.0283136605913413,0.3416850896585606,0.028313660591341303,0.4635372264847968,0.04123091583938606,0.3921218877740617,0.0244905882041111,22.333333333333332,1.247219128924647,43.333333333333336,4.642796092394707,26.0,2.943920288775949,308.3333333333333,3.299831645537222
10,"[3, 5, 10]",8,0.01,30,64,0.005,0.5,0.03,68.33333333333333,3.0912061651652345,0.4570012787723785,0.04696678556333207,0.6563414727349154,0.016563825168243927,0.34365852726508467,0.016563825168243902,0.4570012787723785,0.04696678556333207,0.39175094816687733,0.02607123680706626,22.0,1.4142135623730951,42.0,1.632993161855452,26.333333333333332,3.299831645537222,309.6666666666667,1.699673171197595
10,"[3, 5, 10]",8,0.005,30,64,0.005,0.5,0.05,51.0,1.632993161855452,0.33816425120772947,0.006831949576681623,0.5378306878306879,0.007108480869071087,0.4621693121693122,0.007108480869071114,0.33816425120772947,0.006831949576681623,0.3904694982569699,0.003893560756386213,16.333333333333332,0.4714045207910317,19.0,0.0,32.0,1.632993161855452,332.6666666666667,2.0548046676563256
10,"[3, 5, 10]",8,0.01,30,64,0.001,0.5,0.05,93.0,4.546060565661952,0.6158709860755897,0.05673237872391716,0.7145005572090742,0.01723375474996834,0.2854994427909257,0.017233754749968352,0.6158709860755897,0.05673237872391716,0.3896698736087531,0.024490104575180114,29.666666666666668,1.699673171197595,74.33333333333333,3.681787005729087,18.666666666666668,3.39934634239519,277.3333333333333,3.091206165165235
10,"[3, 5, 10]",8,0.005,30,64,0.005,0.5,0.05,51.666666666666664,3.8586123009300755,0.3388746803069053,0.02313076851325163,0.5453789703015709,0.023745813561570836,0.45462102969842905,0.023745813561570836,0.3388746803069053,0.02313076851325163,0.3881428701927468,0.022536800629503043,16.333333333333332,0.4714045207910317,19.666666666666668,1.699673171197595,32.0,2.449489742783178,332.0,3.559026084010437
10,"[3, 5, 10]",8,0.01,30,64,0.001,0.5,0.05,97.33333333333333,6.342099196813483,0.6082161125319693,0.047628012714170644,0.7265497640497639,0.0244080238480704,0.27345023595023593,0.024408023848070386,0.6082161125319693,0.047628012714170644,0.37658515065873654,0.02765541700545019,29.333333333333332,1.699673171197595,78.33333333333333,6.236095644623236,19.0,2.8284271247461903,273.3333333333333,4.921607686744467
10,"[2, 4, 8, 10]",8,0.01,30,64,0.001,0.5,0.05,97.33333333333333,4.784233364802441,0.6006678033532253,0.021143353492755698,0.7281035795887281,0.016148056102937923,0.2718964204112719,0.016148056102937923,0.6006678033532253,0.021143353492755698,0.3736534639086899,0.0119688118063946,29.0,0.816496580927726,78.0,6.377042156569663,19.333333333333332,1.699673171197595,273.6666666666667,4.988876515698588
10,"[3, 5, 10]",8,0.005,30,64,0.0005,0.5,0.05,117.66666666666667,4.714045207910316,0.7056159420289855,0.07033015304818609,0.7526021694721517,0.014941956863280776,0.24739783052784825,0.014941956863280776,0.7056159420289855,0.07033015304818609,0.36619539133200335,0.025393101771166847,34.0,2.449489742783178,103.33333333333333,0.9428090415820634,14.333333333333334,3.7712361663282534,248.33333333333334,2.8674417556808756
10,"[3, 5, 10]",8,0.005,30,64,0.001,0.5,0.03,121.66666666666667,11.728408057172787,0.7047989485649332,0.08172720669191595,0.7581274456274457,0.03310804975963374,0.24187255437255437,0.03310804975963374,0.7047989485649332,0.08172720669191595,0.3596115581694282,0.045067024430608484,34.0,3.559026084010437,107.33333333333333,9.392668535736913,14.333333333333334,4.109609335312651,244.33333333333334,8.379870059984356
10,"[3, 5, 10]",8,0.01,30,64,0.0005,0.5,0.05,123.33333333333333,14.636332266733433,0.7056159420289855,0.07033015304818609,0.759889398866624,0.031071881103583138,0.240110601133376,0.031071881103583165,0.7056159420289855,0.07033015304818609,0.35745522428026044,0.04046053053440278,34.0,2.449489742783178,109.0,13.366625103842281,14.333333333333334,3.7712361663282534,242.66666666666666,12.657891697365017
10,"[2, 4, 8, 10]",8,0.005,30,64,0.001,0.5,0.03,124.0,9.899494936611665,0.7124538221085536,0.08415465253667022,0.7615655006773099,0.02718456632119708,0.2384344993226901,0.027184566321197104,0.7124538221085536,0.08415465253667022,0.35708942112283903,0.04017475144318583,34.333333333333336,3.299831645537222,110.0,6.377042156569663,14.0,4.320493798938574,241.66666666666666,6.599663291074443
10,"[2, 4, 8, 10]",8,0.005,30,64,0.0005,0.5,0.05,118.33333333333333,5.90668171555645,0.6782466609832339,0.0928847400655596,0.7590892291823295,0.02219871207619993,0.24091077081767062,0.022198712076199962,0.6782466609832339,0.0928847400655596,0.3553623016139618,0.036593127148684644,32.666666666666664,3.6817870057290873,102.66666666666667,1.247219128924647,15.666666666666666,4.784233364802441,249.0,3.265986323710904
10,"[3, 5, 10]",8,0.005,30,64,0.0005,0.5,0.05,118.0,1.4142135623730951,0.6708049161693662,0.04889280857303994,0.759256104251266,0.003992011649541217,0.24074389574873392,0.003992011649541201,0.6708049161693662,0.04889280857303994,0.3538873343214559,0.006263341740001946,32.333333333333336,1.247219128924647,102.0,4.320493798938574,16.0,2.943920288775949,249.66666666666666,2.6246692913372702
10,"[3, 5, 10]",8,0.005,30,64,0.001,0.5,0.03,124.0,9.273618495495704,0.6779447286160841,0.07605192864915111,0.7675122764732812,0.02494051800111292,0.23248772352671873,0.02494051800111291,0.6779447286160841,0.07605192864915111,0.3456788702862001,0.03461066123013043,32.666666666666664,2.8674417556808756,108.33333333333333,8.178562764256865,15.666666666666666,4.027681991198191,243.33333333333334,7.039570693980958
10,"[2, 4, 8, 10]",8,0.01,30,64,0.0005,0.5,0.05,125.66666666666667,8.379870059984357,0.6841787439613526,0.056833906115229225,0.7689437122473284,0.021959258565989966,0.23105628775267162,0.021959258565990004,0.6841787439613526,0.056833906115229225,0.344943465334828,0.028618628681868676,33.0,2.160246899469287,110.33333333333333,7.845734863959881,15.333333333333334,3.0912061651652345,241.33333333333334,6.548960901462833
10,"[3, 5, 10]",8,0.01,30,64,0.0005,0.5,0.05,126.0,12.569805089976535,0.6554951690821256,0.038175046629465276,0.7734492087433265,0.02942694274563827,0.22655079125667363,0.029426942745638292,0.6554951690821256,0.038175046629465276,0.3361112810568437,0.03601624117799081,31.666666666666668,2.0548046676563256,109.33333333333333,11.469767022723502,16.666666666666668,2.0548046676563256,242.33333333333334,10.530379332620877
10,"[2, 4, 8, 10]",8,0.01,30,64,0.001,0.5,0.03,131.66666666666666,21.202725191719,0.6780512929809607,0.05904025399157297,0.7754035550530746,0.03489879879336738,0.22459644494692546,0.03489879879336739,0.6780512929809607,0.05904025399157297,0.33545477765130943,0.04006428779855162,32.666666666666664,1.699673171197595,116.0,21.64871050817269,15.666666666666666,3.39934634239519,235.66666666666666,20.548046676563256
10,"[3, 5, 10]",8,0.01,30,64,0.001,0.5,0.03,133.66666666666666,14.659088951530682,0.6844806763285024,0.07392966762308684,0.7799004771928354,0.031045307236681273,0.2200995228071645,0.031045307236681283,0.6844806763285024,0.07392966762308684,0.33236535951536084,0.04156408044124871,33.0,2.943920288775949,118.33333333333333,13.097921802925667,15.333333333333334,3.858612300930075,233.33333333333334,12.119772641798562
